game_id,season,week,season_type,team,opponent,home_away,layer,statistic,official_value,reconstructed_value,raw_difference,absolute_difference,root_cause
401752876,2025,8,regular,Oregon,Rutgers,away,canon,total_yards,750,745.0,-5.0,5.0,fumble_or_safety_swallows_scrimmage_type
401752876,2025,8,regular,Oregon,Rutgers,away,canon,pass_attempts,24,23,-1,1,fumble_or_safety_swallows_scrimmage_type
401752876,2025,8,regular,Oregon,Rutgers,away,canon,rush_attempts,36,35,-1,1,fumble_or_safety_swallows_scrimmage_type
401752876,2025,8,regular,Oregon,Rutgers,away,canon,rush_yards,415,410.0,-5.0,5.0,fumble_or_safety_swallows_scrimmage_type
401752876,2025,8,regular,Oregon,Rutgers,away,canon,turnovers,3,0,-3,3,no_play_penalty
401752876,2025,8,regular,Oregon,Rutgers,away,canon,interceptions,1,0,-1,1,no_play_penalty
401752876,2025,8,regular,Oregon,Rutgers,away,canon,fumbles_lost,2,0,-2,2,no_play_penalty
401752876,2025,8,regular,Oregon,Rutgers,away,canon,third_down_attempts,11,10,-1,1,no_play_penalty
401752951,2025,8,regular,Virginia,Washington State,home,canon,total_plays,57,56,-1,1,safety_accounting
401752951,2025,8,regular,Virginia,Washington State,home,canon,total_yards,301,297.0,-4.0,4.0,safety_accounting
401752951,2025,8,regular,Virginia,Washington State,home,canon,rush_attempts,32,31,-1,1,safety_accounting
401752951,2025,8,regular,Virginia,Washington State,home,canon,rush_yards,122,118.0,-4.0,4.0,safety_accounting
401752951,2025,8,regular,Virginia,Washington State,home,canon,turnovers,0,1,1,1,kneel_accounting
401752951,2025,8,regular,Virginia,Washington State,home,canon,interceptions,0,1,1,1,kneel_accounting
401752951,2025,8,regular,Washington State,Virginia,away,canon,total_plays,62,58,-4,4,safety_accounting
401752951,2025,8,regular,Washington State,Virginia,away,canon,total_yards,326,320.0,-6.0,6.0,safety_accounting
401752951,2025,8,regular,Washington State,Virginia,away,canon,pass_attempts,27,25,-2,2,safety_accounting
401752951,2025,8,regular,Washington State,Virginia,away,canon,net_pass_yards,183,184.0,1.0,1.0,safety_accounting
401752951,2025,8,regular,Washington State,Virginia,away,canon,rush_attempts,35,33,-2,2,safety_accounting
401752951,2025,8,regular,Washington State,Virginia,away,canon,rush_yards,143,136.0,-7.0,7.0,safety_accounting
401752951,2025,8,regular,Washington State,Virginia,away,canon,turnovers,2,0,-2,2,kneel_accounting
401752951,2025,8,regular,Washington State,Virginia,away,canon,interceptions,2,0,-2,2,kneel_accounting
